Species;Site_name;Habitat_type;Sun_irradiance;SLA;Leaf_area;LDMC
Cheilanthes_austrotenuifolia;Mount_Frankland;shrubland;exposed;5.91;230.48;840.52
Cheilanthes_austrotenuifolia;Mount_Frankland;herbfield;sheltered;9.03;186.06;762.96
Cheilanthes_austrotenuifolia;Mount_Frankland;shrubland;sheltered;9.08;446.64;771.16
Cheilanthes_austrotenuifolia;Mount_Frankland;shrubland;sheltered;9.81;156.98;769.23
Cheilanthes_austrotenuifolia;Mount_Frankland;shrubland;sheltered;10.5;382.34;777.78
Cheilanthes_austrotenuifolia;Mount_Frankland;shrubland;exposed;10.59;298.59;844.31
Cheilanthes_austrotenuifolia;Mount_Frankland;herbfield;exposed;10.18;122.13;800
Cheilanthes_austrotenuifolia;Mount_Frankland;herbfield;sheltered;11.61;765.98;783.85
Cheilanthes_austrotenuifolia;Mount_Frankland;herbfield;sheltered;10.02;492.88;848.28
Cheilanthes_austrotenuifolia;Mount_Frankland;herbfield;sheltered;9.66;616.28;817.95
Corymbia_calophylla;Mount_Frankland;woodland;sheltered;5.87;5428.79;823.31
Corymbia_calophylla;Mount_Frankland;woodland;sheltered;7.37;5260.1;689.28
Corymbia_calophylla;Mount_Frankland;woodland;sheltered;8.16;4311.44;725.5
Corymbia_calophylla;Mount_Frankland;woodland;sheltered;7.65;2370.5;704.23
Corymbia_calophylla;Mount_Frankland;woodland;sheltered;7.18;4603.14;732.3
Corymbia_calophylla;Mount_Frankland;woodland;sheltered;10.45;3583.61;492.25
Corymbia_calophylla;Mount_Frankland;woodland;sheltered;7.64;5381.17;650.41
Corymbia_calophylla;Mount_Frankland;woodland;sheltered;7.13;5071.45;724.2
Corymbia_calophylla;Mount_Frankland;woodland;sheltered;7.62;3692.84;709.1
Corymbia_calophylla;Mount_Frankland;woodland;sheltered;6.38;4394.71;784.28
Eucalyptus_megacarpa;Mount_Frankland;shrubland;exposed;3.61;3390.18;835.91
Eucalyptus_megacarpa;Mount_Frankland;shrubland;exposed;3.48;3263.04;824.54
Eucalyptus_megacarpa;Mount_Frankland;shrubland;exposed;3.01;2593.11;823.32
Eucalyptus_megacarpa;Mount_Frankland;shrubland;exposed;2.81;2365.92;850.98
Eucalyptus_megacarpa;Mount_Frankland;shrubland;sheltered;3.64;2833.18;847.54
Eucalyptus_megacarpa;Mount_Frankland;shrubland;sheltered;3.04;3022.16;857.32
Eucalyptus_megacarpa;Mount_Frankland;shrubland;sheltered;3.07;3531.77;833.5
Eucalyptus_megacarpa;Mount_Frankland;shrubland;exposed;3.6;2794.65;795.94
Eucalyptus_megacarpa;Mount_Frankland;shrubland;sheltered;3.56;2418.06;866.68
Eucalyptus_megacarpa;Mount_Frankland;shrubland;exposed;3.57;2065.12;872.06
Eutaxia_sp;Mount_Frankland;shrubland;sheltered;9.55;78.29;694.92
Eutaxia_sp;Mount_Frankland;shrubland;exposed;5.85;68.98;808.22
Eutaxia_sp;Mount_Frankland;shrubland;sheltered;8.57;157.68;471.79
Eutaxia_sp;Mount_Frankland;shrubland;sheltered;5.49;62.62;740.26
Eutaxia_sp;Mount_Frankland;shrubland;sheltered;9.07;58.05;744.19
Eutaxia_sp;Mount_Frankland;shrubland;sheltered;7.59;36.44;600
Eutaxia_sp;Mount_Frankland;shrubland;exposed;7.18;60.34;711.86
Eutaxia_sp;Mount_Frankland;shrubland;sheltered;6.71;83.18;607.84
Eutaxia_sp;Mount_Frankland;shrubland;exposed;7.27;56.71;557.14
Eutaxia_sp;Mount_Frankland;shrubland;exposed;5.74;64.33;666.67
Stypandra_glauca;Mount_Frankland;shrubland;exposed;14.23;199.22;813.95
Stypandra_glauca;Mount_Frankland;shrubland;exposed;7.76;176.99;750
Stypandra_glauca;Mount_Frankland;shrubland;sheltered;10.74;371.74;714.88
Stypandra_glauca;Mount_Frankland;shrubland;exposed;15.47;346.5;772.41
Stypandra_glauca;Mount_Frankland;shrubland;exposed;7.99;214.26;832.3
Stypandra_glauca;Mount_Frankland;shrubland;exposed;10;281.88;671.43
Stypandra_glauca;Mount_Frankland;shrubland;exposed;7.59;69.83;686.57
Stypandra_glauca;Mount_Frankland;shrubland;exposed;11.89;273.48;777.03
Stypandra_glauca;Mount_Frankland;shrubland;exposed;15.08;337.72;788.73
Stypandra_glauca;Mount_Frankland;shrubland;exposed;10.27;256.83;739.64
Trymalium_odoratissimum;Mount_Frankland;woodland;sheltered;20.72;2018.36;564.31
Trymalium_odoratissimum;Mount_Frankland;woodland;sheltered;15.82;2816.71;818.77
Trymalium_odoratissimum;Mount_Frankland;woodland;sheltered;13.5;1836.55;758.08
Trymalium_odoratissimum;Mount_Frankland;woodland;sheltered;11.26;2494.44;820.74
Trymalium_odoratissimum;Mount_Frankland;woodland;sheltered;22.62;1700.75;673.84
Trymalium_odoratissimum;Mount_Frankland;woodland;sheltered;22.96;1377.87;625
Trymalium_odoratissimum;Mount_Frankland;woodland;sheltered;20.73;1293.7;576.71
Trymalium_odoratissimum;Mount_Frankland;woodland;sheltered;28.32;2067.3;807.52
Trymalium_odoratissimum;Mount_Frankland;woodland;sheltered;25.09;928.22;745.97
Trymalium_odoratissimum;Mount_Frankland;woodland;sheltered;24.05;957.33;713.26
Cheilanthes_austrotenuifolia;Mount_Cooke;herbfield;sheltered;10.56;101.35;872.73
Cheilanthes_austrotenuifolia;Mount_Cooke;herbfield;exposed;6.37;126.21;712.23
Cheilanthes_austrotenuifolia;Mount_Cooke;shrubland;sheltered;23.42;772.94;629.77
Cheilanthes_austrotenuifolia;Mount_Cooke;herbfield;exposed;5.47;158.54;517.86
Cheilanthes_austrotenuifolia;Mount_Cooke;herbfield;exposed;5.68;55.71;924.53
Cheilanthes_austrotenuifolia;Mount_Cooke;shrubland;exposed;7.12;263.51;558.91
Cheilanthes_austrotenuifolia;Mount_Cooke;herbfield;sheltered;15.38;70.77;766.67
Cheilanthes_austrotenuifolia;Mount_Cooke;herbfield;exposed;6.23;197.97;791.04
Cheilanthes_austrotenuifolia;Mount_Cooke;herbfield;sheltered;6.9;184.84;708.99
Cheilanthes_austrotenuifolia;Mount_Cooke;shrubland;exposed;8.19;208.11;557.02
Cheilanthes_austrotenuifolia;Mount_Cooke;shrubland;sheltered;6.77;372.15;719.9
Corymbia_calophylla;Mount_Cooke;woodland;sheltered;6.8;4449.64;614.95
Corymbia_calophylla;Mount_Cooke;woodland;sheltered;6.06;5141.92;677.9
Corymbia_calophylla;Mount_Cooke;woodland;sheltered;5.89;6209.47;651.01
Corymbia_calophylla;Mount_Cooke;woodland;sheltered;6.57;3559.75;559.32
Corymbia_calophylla;Mount_Cooke;woodland;sheltered;5.98;6142.77;583.6
Corymbia_calophylla;Mount_Cooke;woodland;sheltered;6.64;4470.66;590.94
Corymbia_calophylla;Mount_Cooke;woodland;sheltered;6.02;3778.53;627.02
Corymbia_calophylla;Mount_Cooke;woodland;sheltered;6.34;5760.55;570.91
Corymbia_calophylla;Mount_Cooke;woodland;sheltered;6.94;4491.91;599.07
Corymbia_calophylla;Mount_Cooke;woodland;sheltered;6.85;4876.96;623.47
Eucalyptus_wandoo;Mount_Cooke;woodland;sheltered;3.33;2027.02;703.23
Eucalyptus_wandoo;Mount_Cooke;woodland;sheltered;4.69;2608.69;758.52
Eucalyptus_wandoo;Mount_Cooke;woodland;sheltered;5.1;1625.61;601.59
Eucalyptus_wandoo;Mount_Cooke;woodland;sheltered;3.94;1984.79;844.86
Eucalyptus_wandoo;Mount_Cooke;woodland;sheltered;3.39;1701.14;686.63
Eucalyptus_wandoo;Mount_Cooke;woodland;sheltered;4.39;4697.48;646.03
Eucalyptus_wandoo;Mount_Cooke;woodland;sheltered;4.58;2865.79;829.93
Eucalyptus_wandoo;Mount_Cooke;woodland;sheltered;5.92;2308.93;658.12
Eucalyptus_wandoo;Mount_Cooke;woodland;sheltered;5.38;2528.89;777.56
Eucalyptus_wandoo;Mount_Cooke;woodland;sheltered;4.37;1973.45;654.21
Hakea_petiolaris;Mount_Cooke;shrubland;exposed;3.83;2217.3;762.77
Hakea_petiolaris;Mount_Cooke;shrubland;exposed;3.18;1920.09;756.95
Hakea_petiolaris;Mount_Cooke;shrubland;exposed;3.33;1814.73;742.44
