site;season;habitat_type;forest_cover;Dipsacus_density;Ligustrum_density;Gleditsia_density;stem_density
s2;winter;forest;0.604;9.514;0.354;2.664;2.200
s2;fall;forest;0.604;9.514;0.354;2.664;2.200
s2;spring;forest;0.604;9.514;0.354;2.664;2.200
s2;summer;forest;0.604;9.514;0.354;2.664;2.200
s3;winter;shrubland;0.000;19.181;0.00;0.00;3.267
s3;fall;shrubland;0.000;19.181;0.00;0.00;3.267
s3;spring;shrubland;0.000;19.181;0.00;0.00;3.267
s3;summer;shrubland;0.000;19.181;0.00;0.00;3.267
s4;winter;shrubland;0.000;152.338;0.00;0.00;4.200
s4;fall;shrubland;0.000;152.338;0.00;0.00;4.200
s4;spring;shrubland;0.000;152.338;0.00;0.00;4.200
s4;summer;shrubland;0.000;152.338;0.00;0.00;4.200
s5;winter;forest;0.763;10.186;0.071;17.418;1.033
s5;fall;forest;0.763;10.186;0.071;17.418;1.033
s5;spring;forest;0.763;10.186;0.071;17.418;1.033
s5;summer;forest;0.763;10.186;0.071;17.418;1.033
s6;winter;forest;0.945;0.106;0.531;7.454;0.100
s6;fall;forest;0.945;0.106;0.531;7.454;0.100
s6;spring;forest;0.945;0.106;0.531;7.454;0.100
s6;summer;forest;0.945;0.106;0.531;7.454;0.100
s7;winter;forest;0.970;0.707;157.610;9.986;0.100
s7;fall;forest;0.970;0.707;157.610;9.986;0.100
s7;spring;forest;0.970;0.707;157.610;9.986;0.100
s7;summer;forest;0.970;0.707;157.610;9.986;0.100
s8;winter;shrubland;0.167;294.425;0.00;0.460;3.933
s8;fall;shrubland;0.167;294.425;0.00;0.460;3.933
s8;spring;shrubland;0.167;294.425;0.00;0.460;3.933
s8;summer;shrubland;0.167;294.425;0.00;0.460;3.933
s9;winter;shrubland;0.000;94.300;0.00;0.00;7.400
s9;fall;shrubland;0.000;94.300;0.00;0.00;7.400
s9;spring;shrubland;0.000;94.300;0.00;0.00;7.400
s9;summer;shrubland;0.000;94.300;0.00;0.00;7.400
s10;winter;shrubland;0.000;435.087;0.00;0.00;7.767
s10;fall;shrubland;0.000;435.087;0.00;0.00;7.767
s10;spring;shrubland;0.000;435.087;0.00;0.00;7.767
s10;summer;shrubland;0.000;435.087;0.00;0.00;7.767
